time,mean_TRMM_3B42
2016-06-17,3.83912969
2016-06-18,24.2598305
2016-06-19,51.2568092
2016-06-20,7.39650011
2016-06-21,6.19527245
2016-06-22,2.9154911
2016-06-23,17.6979847
2016-06-24,18.7161922
2016-06-25,5.69286585
2016-06-26,3.35771489
2016-06-27,1.77787864
2016-06-28,9.02343369
2016-06-29,1.57099319
2016-06-30,7.86199617
2016-07-01,44.5216103
2016-07-02,8.14622402
2016-07-03,15.5566187
2016-07-04,3.80715275
2016-07-05,29.4591503
2016-07-06,14.1938553
2016-07-07,1.41275871
2016-07-08,15.5094614
2016-07-09,0.262355477
2016-07-10,4.10524321
2016-07-11,4.86936951
2016-07-12,31.1803818
2016-07-13,18.5602875
2016-07-14,18.3243999
2016-07-15,23.3004189
2016-07-16,11.067915
2016-07-17,11.556818
2016-07-18,4.67500019
2016-07-19,20.7708397
2016-07-20,10.5465202
2016-07-21,28.0080242
2016-07-22,16.7169704
2016-07-23,15.2779036
2016-07-24,10.7014694
2016-07-25,8.66050243
2016-07-26,13.1669855
2016-07-27,12.6815014
2016-07-28,16.5227032
2016-07-29,17.9135036
2016-07-30,25.4239216
2016-07-31,2.24109578
2016-08-01,10.431592
2016-08-02,24.5383034
2016-08-03,7.84365797
2016-08-04,17.1357384
2016-08-05,9.05260181
2016-08-06,3.43669438
2016-08-07,33.5231018
2016-08-08,11.5424595
2016-08-09,9.45276833
2016-08-10,10.1432734
2016-08-11,11.6270723
2016-08-12,4.3291049
2016-08-13,17.7207317
2016-08-14,6.52424669
2016-08-15,5.55275154
2016-08-16,9.01525974
2016-08-17,21.9869976
2016-08-18,26.6837978
2016-08-19,10.3969288
2016-08-20,9.85837269
2016-08-21,0.317409962
2016-08-22,6.75309753
2016-08-23,2.04822445
2016-08-24,20.0866451
2016-08-25,8.24135113
2016-08-26,17.1739731
2016-08-27,6.64499426
2016-08-28,5.226264
2016-08-29,8.8281765
2016-08-30,31.9519978
2016-08-31,14.338171
2016-09-01,7.62334824
2016-09-02,1.47000909
2016-09-03,2.35625339
2016-09-04,17.7558842
2016-09-05,19.3111095
2016-09-06,3.02576089
2016-09-07,15.9418144
2016-09-08,3.02449441
2016-09-09,30.8512459
2016-09-10,3.68423629
2016-09-11,22.3245258
2016-09-12,4.96215248
2016-09-13,10.4152536
2016-09-14,24.6077824
2016-09-15,23.9109898
2016-09-16,1.08144224
2016-09-17,18.0454006
2016-09-18,13.1947842
2016-09-19,6.48255968
2016-09-20,42.8453865
2016-09-21,14.9157724
2016-09-22,5.34954596
2016-09-23,0.0258110352
2016-09-24,18.2023754
2016-09-25,12.3978949
2016-09-26,13.6746035
2016-09-27,15.445447
2016-09-28,9.92802715
2016-09-29,30.3711472
2016-09-30,18.1838684
2016-10-01,17.0509567
2016-10-02,0.215330869
2016-10-03,0.762659013
2016-10-04,8.54429436
2016-10-05,20.697588
2016-10-06,27.3527546
2016-10-07,38.0237732
2016-10-08,8.99548244
2016-10-09,7.01798916
2016-10-10,14.3258381
2016-10-11,17.2014179
2016-10-12,11.8297901
2016-10-13,7.04868174
2016-10-14,22.4945908
2016-10-15,11.9214487
2016-10-16,10.0424156
